product_id,product_name,category,cost_price,current_retail_price,stock_quantity,competitor_price,scrape_date,margin,recommended_price,margin_for_rec_price,price_change,action
P001,iPhone 15 Pro Max 256GB,Smartphones,900.0,1299.0,45,1150.0,2026-07-02,30.71593533487298,1150.0,21.73913043478261,149.0,Price_change
P002,Samsung Galaxy S24 Ultra,Smartphones,850.0,1020.0,30,950.0,2026-07-02,16.666666666666664,1000.0,15.0,20.0,Price_at_floor
P003,Google Pixel 8 Pro,Smartphones,650.0,899.0,25,600.0,2026-07-02,27.697441601779754,899.0,27.697441601779754,0.0,Competitor_below_costs
P004,OnePlus 12 5G,Smartphones,550.0,699.0,15,749.0,2026-07-02,21.316165951359086,699.0,21.316165951359086,0.0,No_change
P005,Xiaomi 14 Ultra,Smartphones,700.0,999.0,20,899.0,2026-07-02,29.929929929929934,899.0,22.135706340378196,100.0,Price_change
P006,"MacBook Air M3 13""",Laptops,800.0,1099.0,50,1020.0,2026-07-02,27.206551410373063,1020.0,21.568627450980394,79.0,Price_change
P007,ASUS ROG Zephyrus G14,Laptops,1200.0,1440.0,12,1300.0,2026-07-02,16.666666666666664,1411.764705882353,15.0,28.235294117647072,Price_at_floor
P008,Lenovo ThinkPad X1 Carbon,Laptops,1400.0,1899.0,8,1350.0,2026-07-02,26.276987888362296,1899.0,26.276987888362296,0.0,Competitor_below_costs
P009,Dell XPS 15 9530,Laptops,1300.0,1599.0,10,1699.0,2026-07-02,18.69918699186992,1599.0,18.69918699186992,0.0,No_change
P010,Acer Swift Go 14,Laptops,500.0,699.0,40,620.0,2026-07-02,28.469241773962807,620.0,19.35483870967742,79.0,Price_change
P011,Apple Watch Series 9,Gadgets,280.0,399.0,60,350.0,2026-07-02,29.82456140350877,350.0,20.0,49.0,Price_change
P012,Garmin Fenix 7 Pro,Gadgets,500.0,599.0,18,540.0,2026-07-02,16.52754590984975,588.2352941176471,15.000000000000002,10.764705882352928,Price_at_floor
P013,Meta Quest 3 128GB,Gadgets,380.0,499.0,22,360.0,2026-07-02,23.847695390781563,499.0,23.847695390781563,0.0,Competitor_below_costs
P014,DJI Mini 4 Pro Fly More,Gadgets,750.0,959.0,14,999.0,2026-07-02,21.793534932221064,959.0,21.793534932221064,0.0,No_change
P015,Nintendo Switch OLED,Gadgets,250.0,349.0,35,310.0,2026-07-02,28.36676217765043,310.0,19.35483870967742,39.0,Price_change
P016,Sony WH-1000XM5 Headphones,Accessories,240.0,349.0,80,300.0,2026-07-02,31.23209169054441,300.0,20.0,49.0,Price_change
P017,Anker 737 Power Bank 24K,Accessories,100.0,120.0,100,105.0,2026-07-02,16.666666666666664,117.64705882352942,15.000000000000005,2.35294117647058,Price_at_floor
P018,Keychron K2 V2 Keyboard,Accessories,70.0,99.0,45,65.0,2026-07-02,29.292929292929294,99.0,29.292929292929294,0.0,Competitor_below_costs
P019,Logitech MX Master 3S,Accessories,65.0,99.0,70,109.0,2026-07-02,34.34343434343434,99.0,34.34343434343434,0.0,No_change
P020,SanDisk Extreme 1TB SSD,Accessories,80.0,119.0,120,100.0,2026-07-02,32.773109243697476,100.0,20.0,19.0,Price_change
